date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:26:58	60675/60675	---M-Z	200	added ('OK')	text/html	date:Wed,%2003%20Oct%202018%2013:37:26%20GMT	https://www.w3schools.com/bootstrap4/bootstrap_get_started.asp	C:/Users/DON_IYKE/Desktop/bootstrap%204/www.w3schools.com/bootstrap4/bootstrap_get_started.html	(from )
17:26:59	228/228	---M-Z	200	added ('OK')	text/plain	etag:%2255c342fcd390d11:0%22	https://www.w3schools.com/robots.txt		(from )
17:27:02	140936/140936	---M-Z	200	added ('OK')	text/css	etag:%221532448286%22	https://maxcdn.bootstrapcdn.com/bootstrap/4.1.3/css/bootstrap.min.css	C:/Users/DON_IYKE/Desktop/bootstrap%204/maxcdn.bootstrapcdn.com/bootstrap/4.1.3/css/bootstrap.min.css	(from https://www.w3schools.com/bootstrap4/bootstrap_get_started.asp)
17:27:09	86927/86927	---MC-	200	added ('OK')	text/javascript	date:Thu,%2025%20Jan%202018%2015:33:24%20GMT	https://ajax.googleapis.com/ajax/libs/jquery/3.3.1/jquery.min.js	C:/Users/DON_IYKE/Desktop/bootstrap%204/ajax.googleapis.com/ajax/libs/jquery/3.3.1/jquery.min.js	(from https://www.w3schools.com/bootstrap4/bootstrap_get_started.asp)
17:27:09	20337/20337	---MCZ	200	added ('OK')	application/javascript	etag:W/%225afd4abe-4f71%22	https://cdnjs.cloudflare.com/ajax/libs/popper.js/1.14.3/umd/popper.min.js	C:/Users/DON_IYKE/Desktop/bootstrap%204/cdnjs.cloudflare.com/ajax/libs/popper.js/1.14.3/umd/popper.min.js	(from https://www.w3schools.com/bootstrap4/bootstrap_get_started.asp)
17:27:11	51039/51039	---M-Z	200	added ('OK')	application/javascript	etag:%221532448285%22	https://maxcdn.bootstrapcdn.com/bootstrap/4.1.3/js/bootstrap.min.js	C:/Users/DON_IYKE/Desktop/bootstrap%204/maxcdn.bootstrapcdn.com/bootstrap/4.1.3/js/bootstrap.min.js	(from https://www.w3schools.com/bootstrap4/bootstrap_get_started.asp)
17:27:26	23293/23293	---M-Z	200	added ('OK')	text/css	etag:%220925540a2a1d31:0%22	https://www.w3schools.com/w3css/4/w3.css	C:/Users/DON_IYKE/Desktop/bootstrap%204/www.w3schools.com/w3css/4/w3.css	(from https://www.w3schools.com/bootstrap4/bootstrap_get_started.asp)
17:27:27	58495/58495	---MCZ	200	added ('OK')	application/javascript	etag:W/%22c6e0373-e47f-576dae8591fcb%22	http://static.h-bid.com/w3schools.com/20180525/snhb-w3schools.min.js	C:/Users/DON_IYKE/Desktop/bootstrap%204/static.h-bid.com/w3schools.com/20180525/snhb-w3schools.min.js	(from https://www.w3schools.com/bootstrap4/bootstrap_get_started.asp)
17:27:27	39695/39695	---MC-	200	added ('OK')	text/javascript	date:Thu,%2013%20Sep%202018%2023:12:19%20GMT	https://www.google-analytics.com/analytics.js	C:/Users/DON_IYKE/Desktop/bootstrap%204/www.google-analytics.com/analytics.js	(from https://www.w3schools.com/bootstrap4/bootstrap_get_started.asp)
17:27:33	1975/1975	---MCZ	200	added ('OK')	application/javascript	etag:W/%22c6c024b-7b7-5751e740560a8%22	http://static.h-bid.com/gdpr/cmp.stub.js	C:/Users/DON_IYKE/Desktop/bootstrap%204/static.h-bid.com/gdpr/cmp.stub.js	(from https://www.w3schools.com/bootstrap4/bootstrap_get_started.asp)
17:27:34	23416/23416	---MC-	200	added ('OK')	text/javascript	date:Wed,%2003%20Oct%202018%2016:27:34%20GMT	https://www.googletagservices.com/tag/js/gpt.js	C:/Users/DON_IYKE/Desktop/bootstrap%204/www.googletagservices.com/tag/js/gpt.js	(from https://www.w3schools.com/bootstrap4/bootstrap_get_started.asp)
17:27:35	1622/1622	---M-Z	200	added ('OK')	text/css	etag:%22365862b224cd31:0%22	https://www.w3schools.com/bootstrap4/w3-fix.css	C:/Users/DON_IYKE/Desktop/bootstrap%204/www.w3schools.com/bootstrap4/w3-fix.css	(from https://www.w3schools.com/bootstrap4/bootstrap_get_started.asp)
17:27:36	55246/55246	---M-Z	200	added ('OK')	text/html	date:Wed,%2003%20Oct%202018%2011:45:27%20GMT	https://www.w3schools.com/bootstrap4/default.asp	C:/Users/DON_IYKE/Desktop/bootstrap%204/www.w3schools.com/bootstrap4/default.html	(from https://www.w3schools.com/bootstrap4/bootstrap_get_started.asp)
17:27:37	57137/57137	---M-Z	200	added ('OK')	text/html	date:Wed,%2003%20Oct%202018%2009:39:31%20GMT	https://www.w3schools.com/bootstrap4/bootstrap_grid_basic.asp	C:/Users/DON_IYKE/Desktop/bootstrap%204/www.w3schools.com/bootstrap4/bootstrap_grid_basic.html	(from https://www.w3schools.com/bootstrap4/bootstrap_get_started.asp)
17:27:39	63629/63629	---M-Z	200	added ('OK')	text/html	date:Wed,%2003%20Oct%202018%2014:03:05%20GMT	https://www.w3schools.com/bootstrap4/bootstrap_typography.asp	C:/Users/DON_IYKE/Desktop/bootstrap%204/www.w3schools.com/bootstrap4/bootstrap_typography.html	(from https://www.w3schools.com/bootstrap4/bootstrap_get_started.asp)
17:27:40	54609/54609	---M-Z	200	added ('OK')	text/html	date:Wed,%2003%20Oct%202018%2011:09:16%20GMT	https://www.w3schools.com/bootstrap4/bootstrap_colors.asp	C:/Users/DON_IYKE/Desktop/bootstrap%204/www.w3schools.com/bootstrap4/bootstrap_colors.html	(from https://www.w3schools.com/bootstrap4/bootstrap_get_started.asp)
17:27:42	64600/64600	---M-Z	200	added ('OK')	text/html	date:Wed,%2003%20Oct%202018%2014:18:06%20GMT	https://www.w3schools.com/bootstrap4/bootstrap_tables.asp	C:/Users/DON_IYKE/Desktop/bootstrap%204/www.w3schools.com/bootstrap4/bootstrap_tables.html	(from https://www.w3schools.com/bootstrap4/bootstrap_get_started.asp)
17:27:43	56665/56665	---M-Z	200	added ('OK')	text/html	date:Wed,%2003%20Oct%202018%2013:46:14%20GMT	https://www.w3schools.com/bootstrap4/bootstrap_images.asp	C:/Users/DON_IYKE/Desktop/bootstrap%204/www.w3schools.com/bootstrap4/bootstrap_images.html	(from https://www.w3schools.com/bootstrap4/bootstrap_get_started.asp)
